tab 	specimens
aniso_alt	aniso_ftest	aniso_ftest12	aniso_ftest23	aniso_s	aniso_s_n_measurements	aniso_s_sigma	aniso_type	aniso_v1	aniso_v2	aniso_v3	citations	description	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	geologic_classes	geologic_types	int_abs	int_b_beta	int_corr	int_corr_anisotropy	int_corr_cooling_rate	int_dang	int_drats	int_f	int_fvds	int_g	int_mad_free	int_n_measurements	int_n_ptrm	int_q	int_treat_dc_field	lithologies	location	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	site	software_packages	specimen
											This study										LP-AN-ARM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz07e1	Archeologic	Ceramic	8.3e-05	0.05	c	0.99	0.94	0.54	11.73	0.86	0.77	0.86	1.41	11.0	6.0	14.9	5.9999999999999995e-05	Not Specified	Tel Hazor	863.0	473.0	K	AE-H:DA-AC-AARM:DA-CR:IE-TT:LP-AN-ARM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz07e	hz07	pmagpy-3.4.1: thellier_gui.v.3.0	hz07e1
5.89	4.963464	4.824757	1.655228	0.350108 : 0.335452 : 0.314440 : 0.011644 : 0.005548 : 0.004522	6.0	0.009051	ATRM	0.357567 : 29.7 : 8.8	0.329451 : 301.2 : -9.1	0.312983 : 256.4 : 77.3	This study	Critical F: 3.1059									hz07e1;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz07e	hz07	pmagpy-3.4.1: thellier_gui.v.3.0	hz07e1
	0.7450680000000001	0.112549	0.956285	0.341366 : 0.337548 : 0.321086 : 0.001485 : -0.001132 : -0.004511	9.0	0.01226	AARM	0.342863 : 198.1 : 12.0	0.337046 : 107.9 : 1.1	0.320091 : 12.7 : 77.9	This study	Critical F: 2.6848									hz07e1;AARM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-ARM	b	hz07e	hz07	pmagpy-3.4.1: thellier_gui.v.3.0	hz07e1
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz07e2	Archeologic	Ceramic	7.54e-05	0.03	c	1.06	0.93	1.77	0.87	0.97	0.87	0.89	3.38	14.0	6.0	30.52	5.9999999999999995e-05	Not Specified	Tel Hazor	863.0	273.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz07e	hz07	pmagpy-3.4.1: thellier_gui.v.3.0	hz07e2
4.49	2.998308	2.8899369999999998	1.017364	0.338868 : 0.317249 : 0.343883 : 0.005500 : -0.003379 : -0.011335	6.0	0.009942	ATRM	0.353996 : 14.6 : -49.5	0.330093 : 11.3 : 40.5	0.315911 : 102.7 : 1.7	This study	Critical F: 3.1059									hz07e2;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	b	hz07e	hz07	pmagpy-3.4.1: thellier_gui.v.3.0	hz07e2
											This study										LP-AN-ARM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz07e3	Archeologic	Ceramic	7.96e-05	0.03	c	1.02	0.94	1.42	2.5	0.81	0.75	0.86	2.79	11.0	6.0	20.04	5.9999999999999995e-05	Not Specified	Tel Hazor	863.0	473.0	K	AE-H:DA-AC-AARM:DA-CR:IE-TT:LP-AN-ARM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz07e	hz07	pmagpy-3.4.1: thellier_gui.v.3.0	hz07e3
7.24	4.7737099999999995	5.207863	1.2210530000000002	0.333724 : 0.356999 : 0.309278 : -0.023134 : 0.002458 : -0.013327	6.0	0.014693000000000001	ATRM	0.372601 : 123.3 : 8.4	0.325180 : 38.0 : -29.5	0.302219 : 18.9 : 59.1	This study	Critical F: 3.1059									hz07e3;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz07e	hz07	pmagpy-3.4.1: thellier_gui.v.3.0	hz07e3
	3.951967	2.75365	2.19658	0.323253 : 0.358609 : 0.318138 : -0.007552 : -0.000275 : -0.012565	9.0	0.011909999999999999	AARM	0.360287 : 282.6 : -3.4	0.332338 : 195.5 : 40.6	0.307375 : 188.7 : -49.2	This study	Critical F: 2.6848									hz07e3;AARM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-ARM	g	hz07e	hz07	pmagpy-3.4.1: thellier_gui.v.3.0	hz07e3
											This study											Archeologic	Ceramic																Not Specified	Tel Hazor						hz07e	hz07	pmagpy-3.4.1: thellier_gui.v.3.0	hz07e5
											This study										LP-PI-ALT-PTRM: LP-PI-BT-IZZI : LP-PI-TRM :hz09a1	Archeologic	Ceramic	6.9e-05	0.02	c	1.0	0.95	1.36	1.02	0.83	0.83	0.88	4.61	10.0	5.0	34.48	5.9999999999999995e-05	Not Specified	Tel Hazor	833.0	473.0	K	DA-CR:IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz09a	hz09	pmagpy-3.4.1: thellier_gui.v.3.0	hz09a1
											This study											Archeologic	Ceramic																Not Specified	Tel Hazor						hz09a	hz09	pmagpy-3.4.1: thellier_gui.v.3.0	hz09a2
											This study										LP-PI-ALT-PTRM: LP-PI-BT-IZZI : LP-PI-TRM :hz09a3	Archeologic	Ceramic	6.979999999999999e-05	0.03	c	1.0	0.95	0.89	0.24	0.85	0.82	0.88	2.74	10.0	6.0	23.11	5.9999999999999995e-05	Not Specified	Tel Hazor	863.0	523.0	K	DA-CR:IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz09a	hz09	pmagpy-3.4.1: thellier_gui.v.3.0	hz09a3
											This study											Archeologic	Ceramic																Not Specified	Tel Hazor						hz09a	hz09	pmagpy-3.4.1: thellier_gui.v.3.0	hz09a4
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz09a5	Archeologic	Ceramic	7.23e-05	0.01	c	1.0	0.95	2.01	7.54	0.92	0.94	0.91	4.93	13.0	6.0	62.01	5.9999999999999995e-05	Not Specified	Tel Hazor	863.0	373.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz09a	hz09	pmagpy-3.4.1: thellier_gui.v.3.0	hz09a5
4.99	7.090828999999999	1.266691	8.707512	0.341781 : 0.338131 : 0.320088 : -0.000149 : 0.022944 : -0.008580	6.0	0.009106	ATRM	0.355663 : 295.7 : -34.4	0.341169 : 23.4 : 3.3	0.303168 : 288.5 : 55.3	This study	Critical F: 3.1059									hz09a5;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz09a	hz09	pmagpy-3.4.1: thellier_gui.v.3.0	hz09a5
											This study										LP-AN-ARM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz09a6	Archeologic	Ceramic	6.75e-05	0.02	c	1.01	0.95	2.5	2.93	0.82	0.79	0.88	4.21	10.0	5.0	32.18	5.9999999999999995e-05	Not Specified	Tel Hazor	833.0	473.0	K	AE-H:DA-AC-AARM:DA-CR:IE-TT:LP-AN-ARM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz09a	hz09	pmagpy-3.4.1: thellier_gui.v.3.0	hz09a6
6.22	3.76073	3.3327489999999997	1.490191	0.348174 : 0.316425 : 0.335401 : -0.013308 : -0.000449 : 0.012319	6.0	0.011148	ATRM	0.358937 : 162.3 : -26.8	0.330155 : 138.3 : 61.1	0.310908 : 67.2 : -10.1	This study	Critical F: 3.1059									hz09a6;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz09a	hz09	pmagpy-3.4.1: thellier_gui.v.3.0	hz09a6
	1.010879	1.109632	0.254461	0.348380 : 0.325778 : 0.325842 : -0.006432 : 0.003716 : 0.007037	9.0	0.014738999999999999	AARM	0.351476 : 347.9 : 13.4	0.329519 : 91.2 : 44.1	0.319005 : 245.1 : 42.8	This study	Critical F: 2.6848									hz09a6;AARM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-ARM	b	hz09a	hz09	pmagpy-3.4.1: thellier_gui.v.3.0	hz09a6
											This study										LP-PI-ALT-PTRM: LP-PI-BT-IZZI : LP-PI-TRM :hz09b1	Archeologic	Ceramic	5.16e-05	0.06	u	1.0		0.49	3.23	0.75	0.86	0.88	2.48	10.0	5.0	10.65	5.9999999999999995e-05	Not Specified	Tel Hazor	833.0	473.0	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz09b	hz09	pmagpy-3.4.1: thellier_gui.v.3.0	hz09b1
											This study											Archeologic	Ceramic																Not Specified	Tel Hazor						hz09b	hz09	pmagpy-3.4.1: thellier_gui.v.3.0	hz09b2
											This study										LP-PI-ALT-PTRM: LP-PI-BT-IZZI : LP-PI-TRM :hz09b3	Archeologic	Ceramic	5.3400000000000004e-05	0.09	u	1.0		1.28	2.35	0.7	0.81	0.88	4.16	10.0	5.0	7.1	5.9999999999999995e-05	Not Specified	Tel Hazor	833.0	473.0	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz09b	hz09	pmagpy-3.4.1: thellier_gui.v.3.0	hz09b3
											This study											Archeologic	Ceramic																Not Specified	Tel Hazor						hz10a	hz10	pmagpy-3.4.1: thellier_gui.v.3.0	hz10a1
											This study										LP-PI-ALT-PTRM: LP-PI-BT-IZZI : LP-PI-TRM :hz10a2	Archeologic	Ceramic	4.120000000000001e-05	0.04	u	1.0		1.9	7.35	0.87	0.72	0.87	4.97	11.0	6.0	21.36	5.9999999999999995e-05	Not Specified	Tel Hazor	863.0	473.0	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz10a	hz10	pmagpy-3.4.1: thellier_gui.v.3.0	hz10a2
											This study											Archeologic	Ceramic																Not Specified	Tel Hazor						hz10a	hz10	pmagpy-3.4.1: thellier_gui.v.3.0	hz10a3
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz10b1	Archeologic	Ceramic	8.159999999999999e-05	0.04	c	1.0	0.95	2.06	0.23	0.94	0.86	0.86	4.39	12.0	5.0	20.5	5.9999999999999995e-05	Not Specified	Tel Hazor	803.0	273.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz10b	hz10	pmagpy-3.4.1: thellier_gui.v.3.0	hz10b1
2.44	1.706323	1.918102	0.402654	0.329546 : 0.338995 : 0.331459 : 0.006192 : -0.008911 : 0.000214	6.0	0.008181	ATRM	0.346463 : 250.3 : 29.0	0.330439 : 186.6 : -38.7	0.323098 : 134.9 : 37.7	This study	Critical F: 3.1059									hz10b1;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	b	hz10b	hz10	pmagpy-3.4.1: thellier_gui.v.3.0	hz10b1
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz10b2	Archeologic	Ceramic	8.190000000000001e-05	0.02	c	1.0	0.94	1.5	3.77	0.89	0.89	0.89	3.53	12.0	5.0	34.2	5.9999999999999995e-05	Not Specified	Tel Hazor	803.0	273.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz10b	hz10	pmagpy-3.4.1: thellier_gui.v.3.0	hz10b2
6.46	3.889498	0.267498	5.781765	0.316161 : 0.352380 : 0.331459 : -0.010973 : -0.005364 : -0.020631	6.0	0.013646	ATRM	0.355456 : 286.4 : -1.7	0.345475 : 19.0 : -56.6	0.299070 : 15.4 : 33.3	This study	Critical F: 3.1059									hz10b2;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz10b	hz10	pmagpy-3.4.1: thellier_gui.v.3.0	hz10b2
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz10b3	Archeologic	Ceramic	8.190000000000001e-05	0.03	c	1.0	0.94	0.95	5.2	0.91	0.94	0.9	2.25	12.0	5.0	29.81	5.9999999999999995e-05	Not Specified	Tel Hazor	803.0	273.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz10b	hz10	pmagpy-3.4.1: thellier_gui.v.3.0	hz10b3
8.03	5.9699029999999995	6.421093	1.583732	0.332201 : 0.335237 : 0.332562 : 0.014864 : -0.018429 : -0.004433	6.0	0.008839	ATRM	0.359693 : 236.3 : 33.3	0.328019 : 177.4 : -38.2	0.312288 : 119.8 : 34.2	This study	Critical F: 3.1059									hz10b3;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz10b	hz10	pmagpy-3.4.1: thellier_gui.v.3.0	hz10b3
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz10c1	Archeologic	Ceramic	6.42e-05	0.04	c	1.07	0.96	1.07	3.47	0.83	0.83	0.87	3.04	11.0	5.0	18.03	5.9999999999999995e-05	Not Specified	Tel Hazor	833.0	423.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz10c	hz10	pmagpy-3.4.1: thellier_gui.v.3.0	hz10c1
3.06	17.873301	16.422683	6.644089	0.313137 : 0.353749 : 0.333114 : 0.006595 : 0.053880 : -0.021510	6.0	0.013078999999999999	ATRM	0.399195 : 97.9 : 40.4	0.324240 : 24.7 : -18.8	0.276564 : 133.7 : -43.6	This study	Critical F: 3.1059									hz10c1;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz10c	hz10	pmagpy-3.4.1: thellier_gui.v.3.0	hz10c1
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz10c2	Archeologic	Ceramic	5.9699999999999994e-05	0.03	c	1.12	0.96	1.8	3.72	0.76	0.77	0.86	3.8	9.0	5.0	22.02	5.9999999999999995e-05	Not Specified	Tel Hazor	833.0	523.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz10c	hz10	pmagpy-3.4.1: thellier_gui.v.3.0	hz10c2
2.72	7.102494999999999	4.745933999999999	4.139142	0.303587 : 0.329363 : 0.367050 : 0.022756 : -0.011119 : -0.020365	6.0	0.015288	ATRM	0.379395 : 225.8 : 60.9	0.332295 : 68.2 : 27.2	0.288310 : 333.3 : 9.5	This study	Critical F: 3.1059									hz10c2;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz10c	hz10	pmagpy-3.4.1: thellier_gui.v.3.0	hz10c2
5.07	11.601113	6.325918	8.216727	0.357354 : 0.330866 : 0.311780 : -0.003411 : -0.011727 : -0.026208	6.0	0.009683	ATRM	0.369381 : 3.1 : -24.9	0.334937 : 280.7 : 16.0	0.295682 : 220.2 : -59.7	This study	Critical F: 3.1059									hz10c3;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz10c	hz10	pmagpy-3.4.1: thellier_gui.v.3.0	hz10c3
											This study											Archeologic	Ceramic																Not Specified	Tel Hazor						hz10c	hz10	pmagpy-3.4.1: thellier_gui.v.3.0	hz10c4
											This study										LP-AN-ARM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz10c5	Archeologic	Ceramic	6.979999999999999e-05	0.02	c	0.93	0.95	1.08	0.24	0.77	0.79	0.86	2.98	9.0	5.0	34.45	5.9999999999999995e-05	Not Specified	Tel Hazor	833.0	523.0	K	AE-H:DA-AC-AARM:DA-CR:IE-TT:LP-AN-ARM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz10c	hz10	pmagpy-3.4.1: thellier_gui.v.3.0	hz10c5
5.26	7.672992	5.511457	4.113789	0.331599 : 0.354131 : 0.314270 : -0.011151 : -0.017988 : 0.022036	6.0	0.011789	ATRM	0.370698 : 120.8 : -25.3	0.331558 : 39.5 : 17.8	0.297743 : 160.8 : 58.3	This study	Critical F: 3.1059									hz10c5;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz10c	hz10	pmagpy-3.4.1: thellier_gui.v.3.0	hz10c5
	2.119838	0.605805	2.211361	0.342905 : 0.341862 : 0.315234 : -0.005245 : -0.010057 : 0.005811	9.0	0.012415	AARM	0.351146 : 313.3 : 17.5	0.337481 : 221.4 : 5.9	0.311373 : 113.5 : 71.5	This study	Critical F: 2.6848									hz10c5;AARM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-ARM	b	hz10c	hz10	pmagpy-3.4.1: thellier_gui.v.3.0	hz10c5
											This study										LP-AN-ARM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz10c6	Archeologic	Ceramic	7.03e-05	0.02	c	1.0	0.96	1.24	5.78	0.89	0.89	0.87	2.51	12.0	6.0	37.24	5.9999999999999995e-05	Not Specified	Tel Hazor	863.0	423.0	K	AE-H:DA-AC-AARM:DA-CR:IE-TT:LP-AN-ARM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz10c	hz10	pmagpy-3.4.1: thellier_gui.v.3.0	hz10c6
5.52	131.461515	60.618553000000006	105.791669	0.340361 : 0.322343 : 0.337296 : 0.052213 : -0.025809 : 0.001108	6.0	0.004606	ATRM	0.389478 : 223.5 : 18.0	0.338761 : 355.7 : 64.2	0.271761 : 307.5 : -17.9	This study	Critical F: 3.1059									hz10c6;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz10c	hz10	pmagpy-3.4.1: thellier_gui.v.3.0	hz10c6
	3.6053550000000003	2.652087	1.876885	0.345336 : 0.323328 : 0.331336 : 0.026604 : -0.009529 : -0.001993	9.0	0.014339	AARM	0.364610 : 215.2 : 12.1	0.331586 : 343.9 : 71.1	0.303805 : 122.1 : 14.3	This study	Critical F: 2.6848									hz10c6;AARM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-ARM	g	hz10c	hz10	pmagpy-3.4.1: thellier_gui.v.3.0	hz10c6
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz10d1	Archeologic	Ceramic	6.790000000000001e-05	0.01	c	1.03	0.96	0.91	7.45	0.99	0.96	0.85	2.39	14.0	6.0	77.18	5.9999999999999995e-05	Not Specified	Tel Hazor	863.0	273.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz10d	hz10	pmagpy-3.4.1: thellier_gui.v.3.0	hz10d1
2.48	0.9652229999999999	1.433668	0.066794	0.327318 : 0.336545 : 0.336137 : 0.005942 : -0.008726 : -0.003423	6.0	0.011163	ATRM	0.347294 : 245.5 : 40.0	0.328393 : 51.1 : 49.1	0.324313 : 149.5 : 7.2	This study	Critical F: 3.1059									hz10d1;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	b	hz10d	hz10	pmagpy-3.4.1: thellier_gui.v.3.0	hz10d1
											This study										LP-AN-ARM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz10d2	Archeologic	Ceramic	6.77e-05	0.02	c	1.0	0.95	1.71	6.52	0.82	0.81	0.87	3.29	10.0	5.0	36.86	5.9999999999999995e-05	Not Specified	Tel Hazor	833.0	473.0	K	AE-H:DA-AC-AARM:DA-CR:IE-TT:LP-AN-ARM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz10d	hz10	pmagpy-3.4.1: thellier_gui.v.3.0	hz10d2
6.57	2.123579	1.849791	0.866052	0.322547 : 0.339463 : 0.337990 : -0.005201 : -0.007823 : 0.008449	6.0	0.009655	ATRM	0.349949 : 296.6 : 42.0	0.331379 : 76.3 : 40.2	0.318672 : 185.8 : 21.5	This study	Critical F: 3.1059									hz10d2;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	b	hz10d	hz10	pmagpy-3.4.1: thellier_gui.v.3.0	hz10d2
	0.32042600000000004	0.336301	0.09021	0.331651 : 0.337242 : 0.331107 : -0.003605 : -0.003083 : 0.004523	9.0	0.011664	AARM	0.341362 : 122.8 : -26.2	0.331796 : 51.1 : 32.6	0.326842 : 2.4 : -45.8	This study	Critical F: 2.6848									hz10d2;AARM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-ARM	b	hz10d	hz10	pmagpy-3.4.1: thellier_gui.v.3.0	hz10d2
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz10d3	Archeologic	Ceramic	6.87e-05	0.03	c	1.01	0.95	0.76	2.52	0.93	0.92	0.86	1.13	11.0	5.0	30.14	5.9999999999999995e-05	Not Specified	Tel Hazor	803.0	373.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz10d	hz10	pmagpy-3.4.1: thellier_gui.v.3.0	hz10d3
3.28	0.590585	0.720416	0.107954	0.329869 : 0.342431 : 0.327700 : 0.001173 : 0.006297 : 0.002462	6.0	0.012227	ATRM	0.345011 : 262.0 : -20.8	0.330335 : 165.4 : -16.9	0.324654 : 219.5 : 62.7	This study	Critical F: 3.1059									hz10d3;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	b	hz10d	hz10	pmagpy-3.4.1: thellier_gui.v.3.0	hz10d3
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz11a1	Archeologic	Ceramic	7.31e-05	0.02	c	0.99	0.94	0.58	3.77	0.81	0.91	0.9	1.41	12.0	6.0	33.45	5.9999999999999995e-05	Not Specified	Tel Hazor	863.0	423.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz11a	hz11	pmagpy-3.4.1: thellier_gui.v.3.0	hz11a1
4.55	2.6725060000000003	3.721821	0.275966	0.321396 : 0.352511 : 0.326093 : 0.003719 : 0.012903 : 0.006499	6.0	0.012282	ATRM	0.358714 : 260.1 : -23.0	0.325205 : 330.5 : 38.4	0.316081 : 193.2 : 42.8	This study	Critical F: 3.1059									hz11a1;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	b	hz11a	hz11	pmagpy-3.4.1: thellier_gui.v.3.0	hz11a1
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz11a2	Archeologic	Ceramic	7.72e-05	0.03	c	0.94	0.95	0.59	2.51	0.75	0.81	0.88	1.55	11.0	6.0	26.26	5.9999999999999995e-05	Not Specified	Tel Hazor	863.0	473.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz11a	hz11	pmagpy-3.4.1: thellier_gui.v.3.0	hz11a2
3.71	1.391061	0.111649	2.021322	0.342821 : 0.336036 : 0.321143 : 0.003321 : 0.015243 : 0.000648	6.0	0.014524	ATRM	0.347643 : 52.5 : 25.2	0.340779 : 331.7 : -18.8	0.311578 : 274.2 : 57.7	This study	Critical F: 3.1059									hz11a2;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	b	hz11a	hz11	pmagpy-3.4.1: thellier_gui.v.3.0	hz11a2
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz11a3	Archeologic	Ceramic	7.11e-05	0.02	c	1.02	0.95	0.44	3.24	0.84	0.92	0.9	1.39	11.0	5.0	32.59	5.9999999999999995e-05	Not Specified	Tel Hazor	803.0	373.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz11a	hz11	pmagpy-3.4.1: thellier_gui.v.3.0	hz11a3
3.67	1.613656	0.87987	1.142883	0.330589 : 0.330776 : 0.338635 : -0.013547 : -0.017100 : -0.000756	6.0	0.015706	ATRM	0.355139 : 297.5 : 41.9	0.334304 : 346.9 : -35.9	0.310558 : 55.0 : 27.2	This study	Critical F: 3.1059									hz11a3;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	b	hz11a	hz11	pmagpy-3.4.1: thellier_gui.v.3.0	hz11a3
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz11b1	Archeologic	Ceramic	6.709999999999999e-05	0.02	c	0.98	0.93	1.54	3.6	0.9	0.92	0.89	2.66	12.0	5.0	36.5	5.9999999999999995e-05	Not Specified	Tel Hazor	833.0	373.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz11b	hz11	pmagpy-3.4.1: thellier_gui.v.3.0	hz11b1
2.61	1.690943	0.8464010000000001	1.2823149999999999	0.336484 : 0.334399 : 0.329116 : 0.011236 : 0.021908 : -0.000133	6.0	0.017136000000000002	ATRM	0.357344 : 241.9 : -34.3	0.335049 : 172.4 : 27.1	0.307607 : 291.5 : 43.5	This study	Critical F: 3.1059									hz11b1;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	b	hz11b	hz11	pmagpy-3.4.1: thellier_gui.v.3.0	hz11b1
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz11b2	Archeologic	Ceramic	6.879999999999999e-05	0.02	c	0.96	0.92	0.98	3.47	0.86	0.88	0.88	2.42	11.0	5.0	36.28	5.9999999999999995e-05	Not Specified	Tel Hazor	833.0	423.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz11b	hz11	pmagpy-3.4.1: thellier_gui.v.3.0	hz11b2
3.6	1.8259779999999999	0.9383799999999999	1.356919	0.320891 : 0.345268 : 0.333842 : 0.022212 : -0.004554 : 0.004036	6.0	0.01725	ATRM	0.358560 : 239.9 : 4.4	0.334928 : 349.8 : 77.2	0.306512 : 328.9 : -12.0	This study	Critical F: 3.1059									hz11b2;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	b	hz11b	hz11	pmagpy-3.4.1: thellier_gui.v.3.0	hz11b2
